"name","overallRating","responseRate","responseTime","revBased","numProierties","url","location","pID"
"Crestview Place Unit 603","4.0 / 5.0","15%","Within a day","152","216","https://www.flipkey.com/winter-park-condo-rentals/p98940/","Crestview Place Unit 603            Winter Park, Colorado","p98940"
"12 Sable Lane - The Pines","4.5 / 5.0","95%","Within a day","374","116","https://www.flipkey.com/rangeley-vacation-rentals/p505977/","12 Sable Lane - The Pines            Rangeley, Maine","p505977"
"Lodges #18","4.5 / 5.0","95%","Within a day","374","116","https://www.flipkey.com/rangeley-vacation-rentals/p339418/","Lodges #18            Rangeley, Maine","p339418"
"Rangeley Manor D-6","4.5 / 5.0","95%","Within a day","374","116","https://www.flipkey.com/rangeley-vacation-rentals/p11830/","Rangeley Manor D-6            Rangeley, Maine","p11830"
"Beaver Village Unit #1823R","4.0 / 5.0","15%","Within a day","152","216","https://www.flipkey.com/winter-park-condo-rentals/p2123525/","Beaver Village Unit #1823R            Winter Park, Colorado","p2123525"
"Beaver Village Unit #0824R","4.0 / 5.0","15%","Within a day","152","216","https://www.flipkey.com/winter-park-condo-rentals/p2123479/","Beaver Village Unit #0824R            Winter Park, Colorado","p2123479"
"Alpine Meadows Lodge","4.5 / 5.0","95%","Within a day","374","116","https://www.flipkey.com/rangeley-vacation-rentals/p341653/","Alpine Meadows Lodge            Rangeley, Maine","p341653"
"Sawmill Station Unit 101","4.0 / 5.0","15%","Within a day","152","216","https://www.flipkey.com/winter-park-vacation-rentals/p1707277/","Sawmill Station Unit 101            Winter Park, Colorado","p1707277"
"Crestview Place Unit 510","4.0 / 5.0","15%","Within a day","152","216","https://www.flipkey.com/winter-park-condo-rentals/p1544936/","Crestview Place Unit 510            Winter Park, Colorado","p1544936"
"Beaver Village Unit #0813","4.0 / 5.0","15%","Within a day","152","216","https://www.flipkey.com/winter-park-condo-rentals/p2123478/","Beaver Village Unit #0813            Winter Park, Colorado","p2123478"
"Hideaway Village Alpine 4","4.0 / 5.0","15%","Within a day","152","216","https://www.flipkey.com/winter-park-vacation-rentals/p98933/","Hideaway Village Alpine 4            Winter Park, Colorado","p98933"
"4322 15th Street","4.0 / 5.0","n/a","n/a","3","13","https://www.flipkey.com/saint-simons-island-condo-rentals/p1329317/","4322 15th Street            Saint Simons Island, Georgia","p1329317"
"Hi Country Haus Unit 2501","4.0 / 5.0","15%","Within a day","152","216","https://www.flipkey.com/winter-park-condo-rentals/p98911/","Hi Country Haus Unit 2501            Winter Park, Colorado","p98911"
"Lindig Lodge","4.0 / 5.0","15%","Within a day","152","216","https://www.flipkey.com/tabernash-vacation-rentals/p451447/","Lindig Lodge            Tabernash, Colorado","p451447"
"Dunbar Camp Barnabus","4.5 / 5.0","95%","Within a day","374","116","https://www.flipkey.com/rangeley-vacation-rentals/p11853/","Dunbar Camp Barnabus            Rangeley, Maine","p11853"
"Beaver Village Unit #1923R","4.0 / 5.0","15%","Within a day","152","216","https://www.flipkey.com/winter-park-condo-rentals/p2123541/","Beaver Village Unit #1923R            Winter Park, Colorado","p2123541"
"Beach Club #233","4.0 / 5.0","n/a","n/a","3","13","https://www.flipkey.com/saint-simons-island-condo-rentals/p14832/","Beach Club #233            Saint Simons Island, Georgia","p14832"
"Beaver Village Unit #0934","4.0 / 5.0","15%","Within a day","152","216","https://www.flipkey.com/winter-park-condo-rentals/p2123494/","Beaver Village Unit #0934            Winter Park, Colorado","p2123494"
"Tempel","4.5 / 5.0","95%","Within a day","374","116","https://www.flipkey.com/rangeley-vacation-rentals/p11969/","Tempel            Rangeley, Maine","p11969"
"Hi Country Haus Unit 1508","4.0 / 5.0","15%","Within a day","152","216","https://www.flipkey.com/winter-park-condo-rentals/p98869/","Hi Country Haus Unit 1508            Winter Park, Colorado","p98869"
"Hi Country Haus Unit 611","4.0 / 5.0","15%","Within a day","152","216","https://www.flipkey.com/winter-park-condo-rentals/p98829/","Hi Country Haus Unit 611            Winter Park, Colorado","p98829"
"Hi Country Haus Unit 315","4.0 / 5.0","15%","Within a day","152","216","https://www.flipkey.com/winter-park-condo-rentals/p98818/","Hi Country Haus Unit 315            Winter Park, Colorado","p98818"
"Hideaway Village Como 6","4.0 / 5.0","15%","Within a day","152","216","https://www.flipkey.com/winter-park-vacation-rentals/p98951/","Hideaway Village Como 6            Winter Park, Colorado","p98951"
"Inspiration Point","4.0 / 5.0","15%","Within a day","152","216","https://www.flipkey.com/fraser-cabin-rentals/p2123559/","Inspiration Point            Fraser, Colorado","p2123559"
"Timber Lake 341","4.0 / 5.0","15%","Within a day","152","216","https://www.flipkey.com/winter-park-vacation-rentals/p2240212/","Timber Lake 341            Winter Park, Colorado","p2240212"
"Breakwater","4.5 / 5.0","95%","Within a day","374","116","https://www.flipkey.com/rangeley-vacation-rentals/p505966/","Breakwater            Rangeley, Maine","p505966"
"Beaver Village Unit #1832","4.0 / 5.0","15%","Within a day","152","216","https://www.flipkey.com/winter-park-condo-rentals/p2123524/","Beaver Village Unit #1832            Winter Park, Colorado","p2123524"
"Meadow Ridge Court 17 Unit 3","4.0 / 5.0","15%","Within a day","152","216","https://www.flipkey.com/fraser-condo-rentals/p98876/","Meadow Ridge Court 17 Unit 3            Fraser, Colorado","p98876"
"Quimbachenee","4.5 / 5.0","95%","Within a day","374","116","https://www.flipkey.com/rangeley-vacation-rentals/p395980/","Quimbachenee            Rangeley, Maine","p395980"
"Beach Club #105","4.0 / 5.0","n/a","n/a","3","13","https://www.flipkey.com/saint-simons-island-condo-rentals/p14780/","Beach Club #105            Saint Simons Island, Georgia","p14780"
"Halls Northern Retreat","4.5 / 5.0","95%","Within a day","374","116","https://www.flipkey.com/rangeley-vacation-rentals/p11825/","Halls Northern Retreat            Rangeley, Maine","p11825"
"Parris","4.5 / 5.0","95%","Within a day","374","116","https://www.flipkey.com/rangeley-vacation-rentals/p11955/","Parris            Rangeley, Maine","p11955"
"Hi Country Haus Unit 516","4.0 / 5.0","15%","Within a day","152","216","https://www.flipkey.com/winter-park-condo-rentals/p356499/","Hi Country Haus Unit 516            Winter Park, Colorado","p356499"
"Hi Country Haus Unit 2111","4.0 / 5.0","15%","Within a day","152","216","https://www.flipkey.com/winter-park-condo-rentals/p98899/","Hi Country Haus Unit 2111            Winter Park, Colorado","p98899"
"Crestview Place Unit 607","4.0 / 5.0","15%","Within a day","152","216","https://www.flipkey.com/winter-park-condo-rentals/p622823/","Crestview Place Unit 607            Winter Park, Colorado","p622823"
"Sea Point #209","4.0 / 5.0","n/a","n/a","3","13","https://www.flipkey.com/saint-simons-island-condo-rentals/p1104539/","Sea Point #209            Saint Simons Island, Georgia","p1104539"
"Levine","4.5 / 5.0","95%","Within a day","374","116","https://www.flipkey.com/oquossoc-vacation-rentals/p519948/","Levine            Oquossoc, Maine","p519948"
"Cedarcliff","4.5 / 5.0","95%","Within a day","374","116","https://www.flipkey.com/rangeley-vacation-rentals/p735048/","Cedarcliff            Rangeley, Maine","p735048"
"Meadow Ridge Court 14 Unit 7","4.0 / 5.0","15%","Within a day","152","216","https://www.flipkey.com/fraser-condo-rentals/p233090/","Meadow Ridge Court 14 Unit 7            Fraser, Colorado","p233090"
"Kadel","4.5 / 5.0","95%","Within a day","374","116","https://www.flipkey.com/oquossoc-vacation-rentals/p11891/","Kadel            Oquossoc, Maine","p11891"
"Birches Shores","4.5 / 5.0","95%","Within a day","374","116","https://www.flipkey.com/rangeley-vacation-rentals/p220610/","Birches Shores            Rangeley, Maine","p220610"
"Beaver Village Unit #1123R","4.0 / 5.0","15%","Within a day","152","216","https://www.flipkey.com/winter-park-condo-rentals/p2123493/","Beaver Village Unit #1123R            Winter Park, Colorado","p2123493"
"Beaver Village Unit #1823","4.0 / 5.0","15%","Within a day","152","216","https://www.flipkey.com/winter-park-condo-rentals/p2123526/","Beaver Village Unit #1823            Winter Park, Colorado","p2123526"
"Beaver Village Unit #0811","4.0 / 5.0","15%","Within a day","152","216","https://www.flipkey.com/winter-park-condo-rentals/p2240210/","Beaver Village Unit #0811            Winter Park, Colorado","p2240210"
"Beach Club #434","4.0 / 5.0","n/a","n/a","3","13","https://www.flipkey.com/saint-simons-island-condo-rentals/p14890/","Beach Club #434            Saint Simons Island, Georgia","p14890"
"Meadow Ridge Court 10 Unit 2","4.0 / 5.0","15%","Within a day","152","216","https://www.flipkey.com/fraser-condo-rentals/p98844/","Meadow Ridge Court 10 Unit 2            Fraser, Colorado","p98844"
"Beaver Village Unit #0221R","4.0 / 5.0","15%","Within a day","152","216","https://www.flipkey.com/winter-park-condo-rentals/p2123424/","Beaver Village Unit #0221R            Winter Park, Colorado","p2123424"
"3 Gulls and a Buoy","4.2 / 5.0","n/a","n/a","1,872","285","https://www.flipkey.com/nags-head-vacation-rentals/p2283470/","3 Gulls and a Buoy            Nags Head, North Carolina","p2283470"
"Oasis","4.2 / 5.0","n/a","n/a","1,872","285","https://www.flipkey.com/corolla-vacation-rentals/p17361/","Oasis            Corolla, North Carolina","p17361"
"Rapoza","4.5 / 5.0","95%","Within a day","374","116","https://www.flipkey.com/rangeley-vacation-rentals/p11858/","Rapoza            Rangeley, Maine","p11858"
"Ocean Walk W2","4.0 / 5.0","n/a","n/a","3","13","https://www.flipkey.com/saint-simons-island-condo-rentals/p1329313/","Ocean Walk W2            Saint Simons Island, Georgia","p1329313"
"Russell Cove 18 Cape Escape","4.5 / 5.0","95%","Within a day","374","116","https://www.flipkey.com/rangeley-vacation-rentals/p11977/","Russell Cove 18 Cape Escape            Rangeley, Maine","p11977"
"Meadow Ridge Court 16 Unit 1","4.0 / 5.0","15%","Within a day","152","216","https://www.flipkey.com/fraser-condo-rentals/p613811/","Meadow Ridge Court 16 Unit 1            Fraser, Colorado","p613811"
"Beach Club #335","4.0 / 5.0","n/a","n/a","3","13","https://www.flipkey.com/saint-simons-island-condo-rentals/p14863/","Beach Club #335            Saint Simons Island, Georgia","p14863"
"SBLL 12","4.5 / 5.0","95%","Within a day","374","116","https://www.flipkey.com/rangeley-vacation-rentals/p11871/","SBLL 12            Rangeley, Maine","p11871"
"Ridgetop House","4.0 / 5.0","15%","Within a day","152","216","https://www.flipkey.com/tabernash-vacation-rentals/p2123562/","Ridgetop House            Tabernash, Colorado","p2123562"
"Old Mill Waterfront Home","4.5 / 5.0","95%","Within a day","374","116","https://www.flipkey.com/rangeley-vacation-rentals/p227977/","Old Mill Waterfront Home            Rangeley, Maine","p227977"
"Beaver Village Unit #0924","4.0 / 5.0","15%","Within a day","152","216","https://www.flipkey.com/winter-park-condo-rentals/p2123477/","Beaver Village Unit #0924            Winter Park, Colorado","p2123477"
"Beaver Village Unit #0931R","4.0 / 5.0","15%","Within a day","152","216","https://www.flipkey.com/winter-park-condo-rentals/p2123492/","Beaver Village Unit #0931R            Winter Park, Colorado","p2123492"
"Braidwood Unit 304","4.0 / 5.0","15%","Within a day","152","216","https://www.flipkey.com/winter-park-condo-rentals/p98929/","Braidwood Unit 304            Winter Park, Colorado","p98929"
"SBLL 01","4.5 / 5.0","95%","Within a day","374","116","https://www.flipkey.com/rangeley-vacation-rentals/p11944/","SBLL 01            Rangeley, Maine","p11944"
"SBLL 13","4.5 / 5.0","95%","Within a day","374","116","https://www.flipkey.com/rangeley-vacation-rentals/p11885/","SBLL 13            Rangeley, Maine","p11885"
"27 Depot Street","4.5 / 5.0","95%","Within a day","374","116","https://www.flipkey.com/rangeley-vacation-rentals/p740186/","27 Depot Street            Rangeley, Maine","p740186"
"McDonnell","4.5 / 5.0","95%","Within a day","374","116","https://www.flipkey.com/rangeley-vacation-rentals/p11918/","McDonnell            Rangeley, Maine","p11918"
"Trail's End","4.5 / 5.0","95%","Within a day","374","116","https://www.flipkey.com/rangeley-vacation-rentals/p241973/","Trail's End            Rangeley, Maine","p241973"
"Old Mill 4","4.5 / 5.0","95%","Within a day","374","116","https://www.flipkey.com/rangeley-vacation-rentals/p179386/","Old Mill 4            Rangeley, Maine","p179386"
"Lodges #17 - Hamble Retreat","4.5 / 5.0","95%","Within a day","374","116","https://www.flipkey.com/rangeley-vacation-rentals/p111790/","Lodges #17 - Hamble Retreat            Rangeley, Maine","p111790"
"Lodges #19","4.5 / 5.0","95%","Within a day","374","116","https://www.flipkey.com/rangeley-vacation-rentals/p167777/","Lodges #19            Rangeley, Maine","p167777"
"SBLL 26","4.5 / 5.0","95%","Within a day","374","116","https://www.flipkey.com/rangeley-vacation-rentals/p11875/","SBLL 26            Rangeley, Maine","p11875"
"Beaver Village Unit #0723R","4.0 / 5.0","15%","Within a day","152","216","https://www.flipkey.com/winter-park-condo-rentals/p2123473/","Beaver Village Unit #0723R            Winter Park, Colorado","p2123473"
"2309 Ocean Road","4.0 / 5.0","n/a","n/a","3","13","https://www.flipkey.com/saint-simons-island-condo-rentals/p1665238/","2309 Ocean Road            Saint Simons Island, Georgia","p1665238"
"Hi Country Haus Unit 1506","4.0 / 5.0","15%","Within a day","152","216","https://www.flipkey.com/winter-park-condo-rentals/p460895/","Hi Country Haus Unit 1506            Winter Park, Colorado","p460895"
"Crestview Place Unit 501","4.0 / 5.0","15%","Within a day","152","216","https://www.flipkey.com/winter-park-condo-rentals/p98931/","Crestview Place Unit 501            Winter Park, Colorado","p98931"
"Beaver Village Unit #0312R","4.0 / 5.0","15%","Within a day","152","216","https://www.flipkey.com/winter-park-condo-rentals/p2123428/","Beaver Village Unit #0312R            Winter Park, Colorado","p2123428"
"Old Mill 3","4.5 / 5.0","95%","Within a day","374","116","https://www.flipkey.com/rangeley-vacation-rentals/p11835/","Old Mill 3            Rangeley, Maine","p11835"
"Smith","4.5 / 5.0","95%","Within a day","374","116","https://www.flipkey.com/rangeley-vacation-rentals/p11848/","Smith            Rangeley, Maine","p11848"
"Beaver Village Unit #0621","4.0 / 5.0","15%","Within a day","152","216","https://www.flipkey.com/winter-park-condo-rentals/p2123451/","Beaver Village Unit #0621            Winter Park, Colorado","p2123451"
"Blue Spruce","4.5 / 5.0","95%","Within a day","374","116","https://www.flipkey.com/rangeley-vacation-rentals/p616457/","Blue Spruce            Rangeley, Maine","p616457"
"Mahara 2","4.5 / 5.0","95%","Within a day","374","116","https://www.flipkey.com/rangeley-vacation-rentals/p11920/","Mahara 2            Rangeley, Maine","p11920"
"Meadow Ridge Court 28 Unit 6","4.0 / 5.0","15%","Within a day","152","216","https://www.flipkey.com/fraser-condo-rentals/p144313/","Meadow Ridge Court 28 Unit 6            Fraser, Colorado","p144313"
"Beaver Village Unit #1622R","4.0 / 5.0","15%","Within a day","152","216","https://www.flipkey.com/winter-park-condo-rentals/p2123504/","Beaver Village Unit #1622R            Winter Park, Colorado","p2123504"
"Hi Country Haus Unit 1913","4.0 / 5.0","15%","Within a day","152","216","https://www.flipkey.com/winter-park-condo-rentals/p98890/","Hi Country Haus Unit 1913            Winter Park, Colorado","p98890"
"Beaver Village Unit #0931","4.0 / 5.0","15%","Within a day","152","216","https://www.flipkey.com/winter-park-condo-rentals/p2123487/","Beaver Village Unit #0931            Winter Park, Colorado","p2123487"
"Beaver Village Unit #1921","4.0 / 5.0","15%","Within a day","152","216","https://www.flipkey.com/winter-park-condo-rentals/p2123539/","Beaver Village Unit #1921            Winter Park, Colorado","p2123539"
"Hideaway Village Columbine 3","4.0 / 5.0","15%","Within a day","152","216","https://www.flipkey.com/winter-park-vacation-rentals/p98945/","Hideaway Village Columbine 3            Winter Park, Colorado","p98945"
"Lone Moose","4.5 / 5.0","95%","Within a day","374","116","https://www.flipkey.com/rangeley-vacation-rentals/p11881/","Lone Moose            Rangeley, Maine","p11881"
"Hi Country Haus Unit 705","4.0 / 5.0","15%","Within a day","152","216","https://www.flipkey.com/winter-park-condo-rentals/p98832/","Hi Country Haus Unit 705            Winter Park, Colorado","p98832"
"Running Bear","4.5 / 5.0","95%","Within a day","374","116","https://www.flipkey.com/rangeley-vacation-rentals/p11941/","Running Bear            Rangeley, Maine","p11941"
"SBLL 28","4.5 / 5.0","95%","Within a day","374","116","https://www.flipkey.com/rangeley-vacation-rentals/p11863/","SBLL 28            Rangeley, Maine","p11863"
"492 Golf Course Circle","4.0 / 5.0","15%","Within a day","152","216","https://www.flipkey.com/tabernash-vacation-rentals/p1437807/","492 Golf Course Circle            Tabernash, Colorado","p1437807"
"Beaver Village Unit #1612","4.0 / 5.0","15%","Within a day","152","216","https://www.flipkey.com/winter-park-condo-rentals/p2123508/","Beaver Village Unit #1612            Winter Park, Colorado","p2123508"
"Hylinski II","4.5 / 5.0","95%","Within a day","374","116","https://www.flipkey.com/rangeley-vacation-rentals/p11821/","Hylinski II            Rangeley, Maine","p11821"
"Beaver Village Unit #0623","4.0 / 5.0","15%","Within a day","152","216","https://www.flipkey.com/winter-park-condo-rentals/p2123452/","Beaver Village Unit #0623            Winter Park, Colorado","p2123452"
"Rangeley Manor 16-25","4.5 / 5.0","95%","Within a day","374","116","https://www.flipkey.com/rangeley-vacation-rentals/p11842/","Rangeley Manor 16-25            Rangeley, Maine","p11842"
"Beaver Village Unit #0623R","4.0 / 5.0","15%","Within a day","152","216","https://www.flipkey.com/winter-park-condo-rentals/p2123472/","Beaver Village Unit #0623R            Winter Park, Colorado","p2123472"
"Beach Club #106","4.0 / 5.0","n/a","n/a","3","13","https://www.flipkey.com/saint-simons-island-condo-rentals/p14781/","Beach Club #106            Saint Simons Island, Georgia","p14781"
"Murzyn","4.5 / 5.0","95%","Within a day","374","116","https://www.flipkey.com/rangeley-vacation-rentals/p11865/","Murzyn            Rangeley, Maine","p11865"
"Cross","4.5 / 5.0","95%","Within a day","374","116","https://www.flipkey.com/rangeley-vacation-rentals/p11879/","Cross            Rangeley, Maine","p11879"
"Beaver Village Unit #0922","4.0 / 5.0","15%","Within a day","152","216","https://www.flipkey.com/winter-park-condo-rentals/p2123490/","Beaver Village Unit #0922            Winter Park, Colorado","p2123490"
"Hi Country Haus Unit 2506","4.0 / 5.0","15%","Within a day","152","216","https://www.flipkey.com/winter-park-condo-rentals/p98913/","Hi Country Haus Unit 2506            Winter Park, Colorado","p98913"
"Timber Run Vista Unit 103","4.0 / 5.0","15%","Within a day","152","216","https://www.flipkey.com/winter-park-condo-rentals/p98979/","Timber Run Vista Unit 103            Winter Park, Colorado","p98979"
"As Good As It Gets","4.5 / 5.0","95%","Within a day","374","116","https://www.flipkey.com/rangeley-vacation-rentals/p11934/","As Good As It Gets            Rangeley, Maine","p11934"
"Our Labrador's Retreat","4.2 / 5.0","n/a","n/a","1,872","285","https://www.flipkey.com/duck-vacation-rentals/p17354/","Our Labrador's Retreat            Duck, North Carolina","p17354"
"Beaver Village Unit #1911","4.0 / 5.0","15%","Within a day","152","216","https://www.flipkey.com/winter-park-condo-rentals/p2123536/","Beaver Village Unit #1911            Winter Park, Colorado","p2123536"
"Rangeley Manor 9-85  Bear Foot Camp","4.5 / 5.0","95%","Within a day","374","116","https://www.flipkey.com/rangeley-vacation-rentals/p11912/","Rangeley Manor 9-85  Bear Foot Camp            Rangeley, Maine","p11912"
"Alante Vista Unit 16","4.0 / 5.0","15%","Within a day","152","216","https://www.flipkey.com/fraser-condo-rentals/p98927/","Alante Vista Unit 16            Fraser, Colorado","p98927"
"Antlers At Lakota 103","4.0 / 5.0","15%","Within a day","152","216","https://www.flipkey.com/winter-park-vacation-rentals/p2402270/","Antlers At Lakota 103            Winter Park, Colorado","p2402270"
"Rangeley Manor 8-79","4.5 / 5.0","95%","Within a day","374","116","https://www.flipkey.com/rangeley-vacation-rentals/p11897/","Rangeley Manor 8-79            Rangeley, Maine","p11897"
"SBLL 29","4.5 / 5.0","95%","Within a day","374","116","https://www.flipkey.com/rangeley-vacation-rentals/p11846/","SBLL 29            Rangeley, Maine","p11846"
"Barrett","4.5 / 5.0","95%","Within a day","374","116","https://www.flipkey.com/rangeley-vacation-rentals/p11844/","Barrett            Rangeley, Maine","p11844"
"Hylinski I","4.5 / 5.0","95%","Within a day","374","116","https://www.flipkey.com/rangeley-vacation-rentals/p11837/","Hylinski I            Rangeley, Maine","p11837"
"Meadow Ridge Court 18 Unit 11","4.0 / 5.0","15%","Within a day","152","216","https://www.flipkey.com/fraser-condo-rentals/p98887/","Meadow Ridge Court 18 Unit 11            Fraser, Colorado","p98887"
"Nauti and Nice","4.2 / 5.0","n/a","n/a","1,872","285","https://www.flipkey.com/corolla-vacation-rentals/p641422/","Nauti and Nice            Corolla, North Carolina","p641422"
"Meadow Ridge Court 3 Unit 7","4.0 / 5.0","15%","Within a day","152","216","https://www.flipkey.com/fraser-condo-rentals/p98825/","Meadow Ridge Court 3 Unit 7            Fraser, Colorado","p98825"
"Rangeley Manor P-77","4.5 / 5.0","95%","Within a day","374","116","https://www.flipkey.com/rangeley-vacation-rentals/p11939/","Rangeley Manor P-77            Rangeley, Maine","p11939"
"Sweet Salty Air","4.2 / 5.0","n/a","n/a","1,872","285","https://www.flipkey.com/nags-head-vacation-rentals/p605861/","Sweet Salty Air            Nags Head, North Carolina","p605861"
"Beaver Village Unit #1112","4.0 / 5.0","15%","Within a day","152","216","https://www.flipkey.com/winter-park-condo-rentals/p2123518/","Beaver Village Unit #1112            Winter Park, Colorado","p2123518"
"Sawmill Station Unit 111","4.0 / 5.0","15%","Within a day","152","216","https://www.flipkey.com/winter-park-vacation-rentals/p98968/","Sawmill Station Unit 111            Winter Park, Colorado","p98968"
"Sea Spot","4.2 / 5.0","n/a","n/a","1,872","285","https://www.flipkey.com/corolla-vacation-rentals/p375154/","Sea Spot            Corolla, North Carolina","p375154"
"Old Mill 6","4.5 / 5.0","95%","Within a day","374","116","https://www.flipkey.com/rangeley-vacation-rentals/p218725/","Old Mill 6            Rangeley, Maine","p218725"
"Birches","4.5 / 5.0","95%","Within a day","374","116","https://www.flipkey.com/rangeley-vacation-rentals/p111785/","Birches            Rangeley, Maine","p111785"
"Wood Wind","4.5 / 5.0","95%","Within a day","374","116","https://www.flipkey.com/rangeley-vacation-rentals/p11927/","Wood Wind            Rangeley, Maine","p11927"
"King on Rangeley Lake","4.5 / 5.0","95%","Within a day","374","116","https://www.flipkey.com/rangeley-vacation-rentals/p11899/","King on Rangeley Lake            Rangeley, Maine","p11899"
"Leland Creek Home","4.0 / 5.0","15%","Within a day","152","216","https://www.flipkey.com/winter-park-vacation-rentals/p2123560/","Leland Creek Home            Winter Park, Colorado","p2123560"
"585 Moose Lodge","4.5 / 5.0","95%","Within a day","374","116","https://www.flipkey.com/rangeley-vacation-rentals/p635321/","585 Moose Lodge            Rangeley, Maine","p635321"
"Mahara 1","4.5 / 5.0","95%","Within a day","374","116","https://www.flipkey.com/rangeley-vacation-rentals/p11887/","Mahara 1            Rangeley, Maine","p11887"
"Meadow Ridge Court 4 unit 5","4.0 / 5.0","15%","Within a day","152","216","https://www.flipkey.com/fraser-condo-rentals/p1822115/","Meadow Ridge Court 4 unit 5            Fraser, Colorado","p1822115"
"August Rush","4.2 / 5.0","n/a","n/a","1,872","285","https://www.flipkey.com/corolla-vacation-rentals/p1065372/","August Rush            Corolla, North Carolina","p1065372"
"Now and Then","4.2 / 5.0","n/a","n/a","1,872","285","https://www.flipkey.com/nags-head-vacation-rentals/p447849/","Now and Then            Nags Head, North Carolina","p447849"
"Hart","4.5 / 5.0","95%","Within a day","374","116","https://www.flipkey.com/rangeley-vacation-rentals/p244701/","Hart            Rangeley, Maine","p244701"
"Watersedge","4.5 / 5.0","95%","Within a day","374","116","https://www.flipkey.com/rangeley-vacation-rentals/p11867/","Watersedge            Rangeley, Maine","p11867"
"Beaver Village Unit #0631","4.0 / 5.0","15%","Within a day","152","216","https://www.flipkey.com/winter-park-condo-rentals/p2123464/","Beaver Village Unit #0631            Winter Park, Colorado","p2123464"
"Beaver Village Unit #1633R","4.0 / 5.0","15%","Within a day","152","216","https://www.flipkey.com/winter-park-condo-rentals/p2123513/","Beaver Village Unit #1633R            Winter Park, Colorado","p2123513"
"Beaver Village Unit #0833","4.0 / 5.0","15%","Within a day","152","216","https://www.flipkey.com/winter-park-condo-rentals/p2123503/","Beaver Village Unit #0833            Winter Park, Colorado","p2123503"
"Bates Wolf Lodge","4.5 / 5.0","95%","Within a day","374","116","https://www.flipkey.com/rangeley-vacation-rentals/p11898/","Bates Wolf Lodge            Rangeley, Maine","p11898"
"Stocker","4.5 / 5.0","95%","Within a day","374","116","https://www.flipkey.com/rangeley-vacation-rentals/p11901/","Stocker            Rangeley, Maine","p11901"
"George","4.5 / 5.0","95%","Within a day","374","116","https://www.flipkey.com/rangeley-vacation-rentals/p11874/","George            Rangeley, Maine","p11874"
"Hi Country Haus Unit 1016","4.0 / 5.0","15%","Within a day","152","216","https://www.flipkey.com/winter-park-condo-rentals/p98841/","Hi Country Haus Unit 1016            Winter Park, Colorado","p98841"
"Judge's Chambers","4.2 / 5.0","n/a","n/a","1,872","285","https://www.flipkey.com/corolla-vacation-rentals/p66784/","Judge's Chambers            Corolla, North Carolina","p66784"
"Fiddlehead","4.5 / 5.0","95%","Within a day","374","116","https://www.flipkey.com/rangeley-vacation-rentals/p11861/","Fiddlehead            Rangeley, Maine","p11861"
"Rangeley Manor A-99","4.5 / 5.0","95%","Within a day","374","116","https://www.flipkey.com/rangeley-vacation-rentals/p11914/","Rangeley Manor A-99            Rangeley, Maine","p11914"
"Summer Dreams","4.2 / 5.0","n/a","n/a","1,872","285","https://www.flipkey.com/duck-vacation-rentals/p17316/","Summer Dreams            Duck, North Carolina","p17316"
"Beaver Village Unit #0224R","4.0 / 5.0","15%","Within a day","152","216","https://www.flipkey.com/winter-park-condo-rentals/p2123431/","Beaver Village Unit #0224R            Winter Park, Colorado","p2123431"
"Amalaran","4.5 / 5.0","95%","Within a day","374","116","https://www.flipkey.com/rangeley-vacation-rentals/p11980/","Amalaran            Rangeley, Maine","p11980"
"Dodge Pond Hillton","4.5 / 5.0","95%","Within a day","374","116","https://www.flipkey.com/rangeley-vacation-rentals/p11828/","Dodge Pond Hillton            Rangeley, Maine","p11828"
"Rangeley Manor 7-110","4.5 / 5.0","95%","Within a day","374","116","https://www.flipkey.com/rangeley-vacation-rentals/p11877/","Rangeley Manor 7-110            Rangeley, Maine","p11877"
"Gray Wolf","4.5 / 5.0","95%","Within a day","374","116","https://www.flipkey.com/rangeley-vacation-rentals/p11907/","Gray Wolf            Rangeley, Maine","p11907"
"SBLL 25","4.5 / 5.0","95%","Within a day","374","116","https://www.flipkey.com/rangeley-vacation-rentals/p339416/","SBLL 25            Rangeley, Maine","p339416"
"Station Bay House","4.2 / 5.0","n/a","n/a","1,872","285","https://www.flipkey.com/duck-vacation-rentals/p17317/","Station Bay House            Duck, North Carolina","p17317"
"On The Rocks","4.5 / 5.0","95%","Within a day","374","116","https://www.flipkey.com/rangeley-vacation-rentals/p735049/","On The Rocks            Rangeley, Maine","p735049"
"Meadow Ridge Court 11 Unit 8","4.0 / 5.0","15%","Within a day","152","216","https://www.flipkey.com/fraser-condo-rentals/p98846/","Meadow Ridge Court 11 Unit 8            Fraser, Colorado","p98846"
"SBLL 03","4.5 / 5.0","95%","Within a day","374","116","https://www.flipkey.com/rangeley-vacation-rentals/p403602/","SBLL 03            Rangeley, Maine","p403602"
"Ocean Walk E4","4.0 / 5.0","n/a","n/a","3","13","https://www.flipkey.com/saint-simons-island-condo-rentals/p657155/","Ocean Walk E4            Saint Simons Island, Georgia","p657155"
"7 Angel Point View","4.5 / 5.0","95%","Within a day","374","116","https://www.flipkey.com/rangeley-vacation-rentals/p11967/","7 Angel Point View            Rangeley, Maine","p11967"
"Beaver Village Unit #0724R","4.0 / 5.0","15%","Within a day","152","216","https://www.flipkey.com/winter-park-condo-rentals/p2123476/","Beaver Village Unit #0724R            Winter Park, Colorado","p2123476"
"Loon Lookout","4.5 / 5.0","95%","Within a day","374","116","https://www.flipkey.com/rangeley-vacation-rentals/p111793/","Loon Lookout            Rangeley, Maine","p111793"
